,紧急程度,问题汇总,问题汇总_jieba,jieba,0
10,重要,拍出来的图片视野中心偏亮捕获时视野中间偏亮，抠除背景的时候会吧染色体较浅的地方也当背景抠除,拍 图片 视野 中心 偏亮 捕获 时 视野 中间 偏亮 抠 背景 会 染色体 较浅 地方 背景 抠 ,拍 图片 视野 中心 偏亮 捕获 时 视野 中间 偏亮 抠 背景 会 染色体 较浅 地方 背景 抠 . 查看 100 倍镜 下方 视野 图片 屏幕 中间 会 呈现 一个 亮斑 周围 暗 . 查看 聚光镜 柯勒 照明 均 正常 . 更换 三 目镜 进行 检查 情况 完全 解决 . 检查 拍摄 部分 参数 配置 发现 老师 捕获 前 喜欢 伽马 值调 高 导致 明暗 越来越 明显 中间 亮 斑会 影响 捕获 . 询问 老师 之后 得知 当初 培训 告诉 调整 染色体 深浅 需要 调 伽马 值 . 纠正 问题 之后 伽马 值 调低 屏幕 亮度 保持一致 阈值 下面 增强 调出 每次 捕获 手动 调整 染色体 深浅 锐化 程度 捕获 不再 受 影响 . 重新 培训 软件 仪器 使用 ,0.6694534249631026
11,重要,中孕几个样本结果偏低，怀疑没有加样故障：产筛几个样本结果偏低，怀疑没有加样故障：产筛几个样本结果偏低，怀疑没有加样故障处理：1、查看结果，均为2号针加样位置，历史记录无报错信息，怀疑2号针液面探测或者针堵2、进行加样针疏通清洁，2号针与1号针对换3、加样臂清洁，发现2号加样臂焊点松动，重新焊接，2号臂与4号臂对换4、进行加样针准确度测试，通过5、仪器整机清洁消毒,中孕 几个 样本结果 偏低 怀疑 没有 加样 故障 产筛 几个 样本结果 偏低 怀疑 没有 加样 故障 产筛 几个 样本结果 偏低 怀疑 没有 加样 故障 处理 查看 均 号针 加样 位置 历史记录 报错 信息 怀疑 号针 液面 探测 针堵 进行 加样针 疏通 清洁 号针 号 换 加样臂 清洁 发现 号 加样臂 焊点 松动 重新 焊接 号臂 号臂 对换 进行 加样针 准确度 测试 仪器 整机 清洁 消毒 ,中孕 几个 样本结果 偏低 怀疑 没有 加样 故障 产筛 几个 样本结果 偏低 怀疑 没有 加样 故障 产筛 几个 样本结果 偏低 怀疑 没有 加样 故障 处理 查看 均 号针 加样 位置 历史记录 报错 信息 怀疑 号针 液面 探测 针堵 进行 加样针 疏通 清洁 号针 号 换 加样臂 清洁 发现 号 加样臂 焊点 松动 重新 焊接 号臂 号臂 对换 进行 加样针 准确度 测试 仪器 整机 清洁 消毒 故障 处理 查看 均 号针 加样 位置 历史记录 报错 信息 怀疑 号针 液面 探测 针堵 进行 加样针 疏通 清洁 号针 号 换 加样臂 清洁 发现 号 加样臂 焊点 松动 重新 焊接 号臂 号臂 对换 进行 加样针 准确度 测试 仪器 整机 清洁 消毒 ,0.6631055485363688
12,重要,XevoTQD装机后，进行的数据对比发现TQD检测的C8:1，C10:1，C12:1，C14:1空白及样本的浓度检测值均比Xevo高出较多；数据分析显示以上指标升高时间段在5月份之后至今，4月份之前数据显示都还正常，其中3月底进行了阈值参数的修改及离子源的清洗，4月上旬进行过四级杆及碰撞池的清洗，故具体原因还需现场分析,XevoTQD 装机 进行 数据 发现 TQD 检测 C8 : C10 : C12 : C14 : 空白 样本 浓度 检测值 均 Xevo 高出 数据分析 显示 指标 升高 时间段 月份 之后 月份 之前 数据 显示 正常 月底 进行 阈值 参数 修改 离子源 清洗 月 上旬 进行 四级 杆及 碰撞 池 清洗 具体 原因 需 现场 分析 ,XevoTQD 装机 进行 数据 发现 TQD 检测 C8 : C10 : C12 : C14 : 空白 样本 浓度 检测值 均 Xevo 高出 数据分析 显示 指标 升高 时间段 月份 之后 月份 之前 数据 显示 正常 月底 进行 阈值 参数 修改 离子源 清洗 月 上旬 进行 四级 杆及 碰撞 池 清洗 具体 原因 需 现场 分析 . 清洗 离子源 四级 杆 碰撞 池 C8 - C14 : 本底 明显 下降 此前 修改 阈值 参数 关系不大 . 发现 C18 相关 指标 偏高 发现 问题 集中 扎 孔后 新 样本 复溶后 C18 指标 恢复正常 . 测试 发现 扎 孔后 样本 暴露 一段时间 发生 物质 改变 导致 长链 肉碱 离子化 效率 降低 建议 以后 复溶后 测试 样本 扎 孔后 马上 进行 样本 测试 10 . 周四 Xevo 早上 做 完 最后 一块 板 （ 称为 板 B 早上 点 做 完 ） 重新 包被 放到 TQD 上机 MSFile 调用 错误 导致 死机 重新 调用 正确 文件 重置 质谱 上机 测试 进样 量 10ul 响应 （ - ） C8 - 14 : 两台 仪器 检测值 相差 样本 C18 相关 同系物 指标 偏高 很多 大部分 超出 上限 范围 发现 昨晚 测试 复溶板 （ 王宇 周二 复溶 称为 板 A ） 样本 C18 极其 指标 偏高 甲醇 清洗 一遍 锥孔 测试 板 B C18 依旧 偏高 甲酸 / 甲醇 清洗 锥孔 测试 板 B C18 依旧 偏高 测试 xevo 今日 上午 刚 做 完 第一 板 （ 称为 板 C ） 正常 说明 仪器 问题 应为 样本 问题 11 . 修改 两台 仪器 2777cycle 程序 缩短 一块 板 测试 时间 小时 12 . 王彦云 反馈 C18 问题 此前 出现 一次 那次 进样 针扎错 孔后 重新 包被 实验 现象 一致 表现 第三 通道 响应 低 第二 通道 差不多 第一 通道 响应 高 具体表现 C18IS 离子 强度 降低 C18 C18 : 强度 不为 比例 下降 导致 计算 C18 相关 指标 升高 13 . 将板 B 几个 样本 富集 50 号位 XevoTQD 测试 C18 指标 未 表现 偏高 三 通道 二 通道 强度 低 通道 强度 高 9e6 继续 测试 94 孔 C18 依旧 不高 三 通道 二 通道 强度 低 通道 高 50 孔 94 孔移 TQD 测试 上述 表现 一致 进一步 说明 问题 可能 仪器 关系不大 样本 导致 14 . 将板 B 前 两排 重新 复溶 加入 50ul 萃取液 再次 上机 测试 发现 C18 指标 恢复正常 三 通道 强度 恢复 通道 差不多 王彦云 讨论 怀疑 滤膜 纸 污染 样品 导致 撕掉 块 铝箔纸 放入 样品 中 过半 小时 测试 发现 依旧 15 . 晚上 点多 发现 Xevo 今日 测试 完 第二 板 （ 板 D 下午 点半测 完 ） TQD 测试 出现 C18 问题 此板 移到 Xevo 测试 同样 出现 C18 问题 至此 确定 仪器 无关 将板 D 复溶 三个 孔 TQD 测试 C18 问题 恢复正常 16 . 综上 ） 扎过 孔 样本 测试 完后 重新 包被 马上 再次 测试 C18 问题 正常 隔 几个 小时 （ - 4h ） 再测 C18 问题 出现 ） 问题 板 重新 复溶后 C18 问题 正常 ） 复溶后 板子 时间 放置 过长 （ 隔 - 天 ） 会 出现 C18 问题 实验室 基本 不会 南京 妇幼 刚扎 孔后 再行 测试 直接 进行 复溶 测试 确定 扎过 孔 之后 样品 暴露 空气 中 内部 物质 发生 某种 变化 导致 长链 肉碱 离子化 效率 不够 重新加入 新 萃取液 会 消除 此种 变化 ,0.5602478456314287
13,重要,XevoTQD装机后，进行的数据对比发现TQD检测的C8:1，C10:1，C12:1，C14:1空白及样本的浓度检测值均比Xevo高出较多；数据分析显示以上指标升高时间段在5月份之后至今，4月份之前数据显示都还正常，其中3月底进行了阈值参数的修改及离子源的清洗，4月上旬进行过四级杆及碰撞池的清洗，故具体原因还需现场分析,XevoTQD 装机 进行 数据 发现 TQD 检测 C8 : C10 : C12 : C14 : 空白 样本 浓度 检测值 均 Xevo 高出 数据分析 显示 指标 升高 时间段 月份 之后 月份 之前 数据 显示 正常 月底 进行 阈值 参数 修改 离子源 清洗 月 上旬 进行 四级 杆及 碰撞 池 清洗 具体 原因 需 现场 分析 ,"XevoTQD 装机 进行 数据 发现 TQD 检测 C8 : C10 : C12 : C14 : 空白 样本 浓度 检测值 均 Xevo 高出 数据分析 显示 指标 升高 时间段 月份 之后 月份 之前 数据 显示 正常 月底 进行 阈值 参数 修改 离子源 清洗 月 上旬 进行 四级 杆及 碰撞 池 清洗 具体 原因 需 现场 分析 . 清洗 离子源 四级 杆 碰撞 池 C8 - C14 : 本底 明显 下降 此前 修改 阈值 参数 关系不大 . 发现 C18 相关 指标 偏高 发现 问题 集中 扎 孔后 新 样本 复溶后 C18 指标 恢复正常 . 测试 发现 扎 孔后 样本 暴露 一段时间 发生 物质 改变 导致 长链 肉碱 离子化 效率 降低 建议 以后 复溶后 测试 样本 扎 孔后 马上 进行 样本 测试 . 周一 再次 分析 数据 发现 月底 修改 阈值 一个月 - 月份 数据 显示 C8 - C14 : 浓度 值 依然 较为 正常 2016 年 数据 差别 月份 一直 月份 检测值 一直 处于 高水平 确定 修改 阈值 关系不大 （ 找到 确实 时间 月 12 号 仪器 泄 真空 锯 设备 台桌 时间 C8 - C14 : 偏高 ） . 清洗 离子源 六级 杆 使用 磨砂 纸 打磨 离子源 二级 锥孔 一级 锥 孔及 六级 杆 . 正常 程序 超声 清洗 离子源 六级 杆 更换 泵油 抽 真空 . 次日 （ 周二 ） 达到 极限 真空 进 PEG 检查 MS1 MS2 月 26 日刚 进行 质谱 调谐 扫描 检查 发现 月 26 调试 半峰 宽 质量数 差别 不再 进行 Intellistart 调谐 发现 MS1 高端 质量数 左 半边 峰型 鼓包 凸起 现象 发现 调整 HighMassDCBalance - 1.5 高端 质量 峰 趋于 正态分布 形状 MS 峰型 略有 毛刺 调换 顺序 重装 毛细管 尖端 喷雾 散状 更换 新 毛细管 发现 MS 峰型 跳动 断续 现象 再次 更换 回 原来 毛细管 峰型 正常 . 进 内标 工作液 发现 氨基酸 肉碱 锥 孔 电压 原来 - 4v 长链 肉碱 偏小 更 碰撞 能量 变化 不大 . 测试 复溶 样本 响应 大概 - 6e6 C8 - C14 : 检测值 国庆 一定 程度 下降 仍然 Xevo 略 高 修改 阈值 30 , 40 , 50 C8 - C14 : 会 减小 变化 决定 清洗 四级 杆及 碰撞 池 两遍 纯 甲醇 超声 碰撞 池 无尘纸 蘸 甲醇 擦拭 四级 杆 吹干 装回 . 过夜 抽 真空 次日 （ 周三 ） 真空 已到 极限 准备 进行 质谱 调试 蒋 主任 坚持 认为 昨日 维护保养 会 仪器 稳定 建议 观察 一天 周四 进行 室内 质控 测试 是否 存在 RRF 系数 变动 情况 . 先进 PEG 观察 发现 MS1 MS2 质量数 分辨率 均 基本 变化 改变 MS1 DCPolarity 正极 变为 负极 发现 原先 高端 质量数 左 半边 峰型 凸起 状 消失 改变 MS2 负极 变为 正极 增加 半峰 宽 重新 调整 Engineer 界面 参数 Intellistart 调试 MS1 分辨率 0.65 Da MS2 分辨率 0.68 Da9 . 进 内标 工作液 参数 基本 变化 肉碱 碰撞 能量 升高 1ev 测试 Xevo 刚刚 测试 完 样本 响应 不高 - 6e6 C8 - C14 : 浓度 值 明显 下降 昨日 更 低 常州 苏州 TQD 浓度 值 相差 基本 确定 C8 - C14 : 检测值 偏高 仪器 问题 内部 存在 污染 导致 指标 检测 本底 偏高 过夜 测试 昨日 （ 周二 ） 王宇复 溶 第二块 板 （ 称为 板 A ） ",0.6886332333139388
14,重要,120拍摄的照片，部分是模糊的120拍摄图片模糊,120 拍摄 照片 部分 模糊 120 拍摄 图片 模糊 ,120 拍摄 照片 部分 模糊 120 拍摄 图片 模糊 120 拍摄 模糊 . offset 调整 观察 频率 约 10 张 （ 总 60 张片 ） . 清理 检查 z 方向 运动 阻碍 物 . 手动 调节 z 方向 运动 异常 . 镜头 转盘 基座 固定 . 继续 使用 观察 ,0.4485627297869241
15,重要,芯片结果文件无法传输到分析主机,芯片 文件 无法 传输 分析 主机 ,芯片 文件 无法 传输 分析 主机 测试 amds 电脑 能够 ping 通 分析 主机 测试 无法 电脑 登陆 账户 密码 访问 分析 主机 发现 分析 主机 登陆 账户 网络 账户 不同 biosan jianyanke 使用 jianyanke 账户 加 密码 测试 访问 共享 文件夹 应 客户 要求 修改 分析 主机 密码 重新安装 芯片 协议 检查 洗涤 工作站 无漏 液 测试 扫描仪 信号强度 足够 工作 正常 ,0.7358673331068643
16,重要,科室老师反应B做出来的结果荧光值较其他仪器偏高，B仪器维护及性能验证,科室 老师 反应 B 做 荧光值 仪器 偏高 B 仪器维护 性能验证 ,科室 老师 反应 B 做 荧光值 仪器 偏高 B 仪器维护 性能验证 定标 液 测试 Eu 标 128 万 flash1400 + P24 680 下调 580 Eu 标 109 万 清洁 仪器 清洁 导轨 润滑 机械 测试 正常 功能测试 正常 气密性 测试 正常 仪器 测试 正常 之后 荧光值 继续 升高 可能 需要 更换 反馈 滤光片 ,0.4924815960313081
17,重要,120部分拍片模糊，前期已确定是Z轴电机可能存在问题，现尝试更换；z轴异响，且图像模糊z轴异响，且图像模糊,120 部分 拍片 模糊 前期 确定 Z轴电机 可能 存在 问题 现 尝试 更换 z 轴异响 图像 模糊 z 轴异响 图像 模糊 ,120 部分 拍片 模糊 前期 确定 Z轴电机 可能 存在 问题 现 尝试 更换 z 轴异响 图像 模糊 z 轴异响 图像 模糊 . 拆下 检查 z 轴 电机 . 更换 新 z 轴 电机 . 显微镜 完整 校准 调试 . 上片 使用 正常 迷糊 现象 ,0.6896126330827594
18,重要,故障：洗涤工作站2号模块漏液,故障 洗涤 工作站 号 模块 漏液 ,故障 洗涤 工作站 号 模块 漏液 故障 解决 号 模块 号针 位置 固定 模块 螺纹 结晶 严重 导致 更换 针 上方 管路 联动 管路 弯折 闭塞 导致 蠕动泵 管路 接口 脱离 清洁 固定 模块 螺纹 结晶 重新安装 针 整机 接口 进行 结晶 处理 shutdown 测试 正常 ,0.6635412256040071
19,重要,这周连续两次实验取放防蒸发帽报错,周 连续 两次 实验 取放 防蒸发帽 报错 ,周 连续 两次 实验 取放 防蒸发帽 报错 . 检查 历史记录 第一天 实验 显示 自检 时 防蒸发帽 missing retry2 次后 恢复正常 第二次 实验 显示 实验过程 中 掉 防蒸发帽 之前 防蒸发帽 已经 掉落 . 检查 加样枪 坐标 坐标 均 准确 . 检查 防蒸发帽 表面 明显 磨损 使用 加样枪 进行 取放 帽子 测试 - 号 试剂仓 每个 位置 测试 次 均 正常 . 清洁 每个 防蒸发帽 内壁 刷子 清洁 右边 加样枪 金属 头 . 坐标 问题 导致 帽子 掉落 外 可能 帽子 高度 不够 第二次 报错 现实 取到 帽子 后来 不够 紧 掉落 . 每个 试剂盒 中放上 一层 纸板 防蒸发帽 初始 位置 提高 试剂枪 下来 帽子 结合 更 紧 帽子 容易 掉落 . 跟进 一次 实验 实验 分配 试剂 加样 操作 均 正常 ,0.6493418997450641
20,重要,板条进板报错“”板条未对齐“”,板条 进 板报 错 板条 未 对齐 ,板条 进 板报 错 板条 未 对齐 PE 工程师 李瑞 上门 操作 更换 inputstacker 处理结果 需要 持续 跟踪 ,0.43253841068930615
21,重要,全省质控分析发现鼓楼医院质控整体偏低，CV偏大，客户怀疑是设备的问题1.中孕标准曲线弯折；2.全省质控分析发现鼓楼医院质控整体偏低，CV偏大,全省 质控 分析 发现 鼓楼 医院 质控 整体 偏低 CV 偏大 客户 怀疑 设备 问题 . 中孕 标准曲线 弯折 . 全省 质控 分析 发现 鼓楼 医院 质控 整体 偏低 CV 偏大 ,"全省 质控 分析 发现 鼓楼 医院 质控 整体 偏低 CV 偏大 客户 怀疑 设备 问题 . 中孕 标准曲线 弯折 . 全省 质控 分析 发现 鼓楼 医院 质控 整体 偏低 CV 偏大 . 没有 明确 模块 异常 进行 整机 校准 消毒 性能 测试 . 整机 坐标 校准 坐标 基本 偏差 . 性能验证 附件 . 仪器 加样针 洗板机 消毒 . 跟进 一次 实验 实验 曲线 正常 质控 偏低 依旧 存在 . 曲线 之前 正常 需要 多次 实验 检验 . 暂时 发现 设备 问题 , , 号 加样针 交叉 污染 未过 问题 正常 . 后续 实验 进行 跟进 ",0.6373533583742174
22,重要,1235主机电脑近期多次发生蓝屏，需彻底解决机器蓝屏重启机器蓝屏重启,1235 主机 电脑 近期 多次 发生 蓝屏 需 彻底解决 机器蓝屏 重启 机器蓝屏 重启 ,1235 主机 电脑 近期 多次 发生 蓝屏 需 彻底解决 机器蓝屏 重启 机器蓝屏 重启 . 重新安装 操作系统 . 重新安装 delfia 软件 . 安装 打印机 驱动 . 数据恢复 ,0.6742053528756314
